epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,2488.26,1.15928,2.46793,0.99316,1.10672,0,0.59235,0.38887,0.43866,0.29014,0.63681,0.38656,0.43092,0.25887,1.33043,2.74959,1.15402,1.21005,0,0.000602092,0.000602092,0.000602092
44,2542.88,1.17653,2.46849,0.99694,1.10526,0,0.53166,0.44931,0.46487,0.30948,0.56604,0.42474,0.45297,0.26912,1.31354,2.75847,1.15276,1.20566,0,0.000596595,0.000596595,0.000596595
45,2598.73,1.16838,2.47542,0.9963,1.1076,0,0.52498,0.42805,0.44818,0.2967,0.52269,0.41912,0.43823,0.25573,1.31314,2.77157,1.14232,1.20844,0,0.000591097,0.000591097,0.000591097
46,2659.22,1.16997,2.48449,1.00131,1.10796,0,0.5139,0.47199,0.45822,0.29806,0.52953,0.46372,0.45287,0.26825,1.31053,2.74347,1.15573,1.20962,0,0.000585599,0.000585599,0.000585599
47,2724.91,1.17607,2.48212,0.99996,1.10885,0,0.49359,0.45558,0.45844,0.29594,0.58824,0.40398,0.44245,0.26096,1.33082,2.76968,1.15031,1.2146,0,0.000580101,0.000580101,0.000580101
48,2784.54,1.16419,2.47469,0.98552,1.09911,0,0.55803,0.44325,0.45775,0.29724,0.56566,0.41601,0.43619,0.26213,1.31752,2.75612,1.15757,1.20732,0,0.000574603,0.000574603,0.000574603
49,2839.63,1.17216,2.4882,0.993,1.1089,0,0.60763,0.41863,0.45881,0.29696,0.6019,0.40464,0.44342,0.26071,1.29726,2.7327,1.14796,1.19696,0,0.000569106,0.000569106,0.000569106
50,2894.69,1.17213,2.47479,0.98646,1.1046,0,0.54822,0.45075,0.46037,0.30697,0.54632,0.44771,0.45277,0.27103,1.30959,2.7378,1.15493,1.20757,0,0.000563608,0.000563608,0.000563608
51,2950.53,1.16841,2.475,0.98654,1.10216,0,0.49614,0.45343,0.44957,0.29508,0.4941,0.44649,0.43994,0.26247,1.31272,2.76323,1.14791,1.2082,0,0.00055811,0.00055811,0.00055811
52,3011.86,1.1681,2.4601,0.98456,1.09901,0,0.54399,0.44265,0.45086,0.30395,0.53074,0.43606,0.43811,0.26381,1.3146,2.75764,1.13708,1.2104,0,0.000552612,0.000552612,0.000552612
53,3066.88,1.15369,2.45971,0.97229,1.09761,0,0.53584,0.46018,0.4627,0.29466,0.53017,0.44326,0.45027,0.27106,1.30592,2.72987,1.14301,1.20312,0,0.000547114,0.000547114,0.000547114
54,3126.32,1.16139,2.46452,0.97749,1.10093,0,0.53083,0.46935,0.45576,0.3015,0.52319,0.45431,0.44712,0.26562,1.31934,2.75555,1.14083,1.21698,0,0.000541617,0.000541617,0.000541617
55,3179.87,1.14626,2.42633,0.97114,1.09594,0,0.54944,0.44749,0.46623,0.30878,0.62353,0.40515,0.45112,0.27305,1.30884,2.74018,1.14598,1.20533,0,0.000536119,0.000536119,0.000536119
56,3234.3,1.14765,2.44308,0.96699,1.09172,0,0.55396,0.46501,0.47131,0.30825,0.53804,0.44098,0.44572,0.27216,1.30985,2.74742,1.13868,1.20867,0,0.000530621,0.000530621,0.000530621
57,3299.15,1.15512,2.44799,0.96544,1.09782,0,0.53402,0.45725,0.45872,0.30779,0.55045,0.4201,0.44206,0.27149,1.31612,2.76604,1.15015,1.21076,0,0.000525123,0.000525123,0.000525123
58,3358.83,1.14204,2.44012,0.96466,1.09367,0,0.57143,0.44828,0.46416,0.31126,0.5735,0.43842,0.44917,0.26781,1.30466,2.74823,1.14467,1.20724,0,0.000519625,0.000519625,0.000519625
59,3414.06,1.14449,2.43543,0.96275,1.09468,0,0.56106,0.45345,0.47314,0.31164,0.56375,0.43955,0.45748,0.27407,1.30864,2.74726,1.13914,1.20812,0,0.000514128,0.000514128,0.000514128
60,3468.69,1.13982,2.42287,0.95597,1.0955,0,0.53756,0.46784,0.47305,0.31189,0.63855,0.40461,0.45549,0.2727,1.3092,2.74075,1.13082,1.20638,0,0.00050863,0.00050863,0.00050863
61,3523.6,1.13831,2.41137,0.95275,1.08971,0,0.51409,0.44937,0.45856,0.29947,0.51251,0.4424,0.45145,0.26978,1.31397,2.76205,1.13085,1.21041,0,0.000503132,0.000503132,0.000503132
62,3578.52,1.12507,2.42829,0.94003,1.08644,0,0.5263,0.4658,0.47043,0.31051,0.50443,0.45032,0.45138,0.26755,1.31771,2.76612,1.13956,1.21229,0,0.000497634,0.000497634,0.000497634
63,3637.73,1.14047,2.42956,0.95683,1.09096,0,0.50334,0.47904,0.46513,0.30761,0.60295,0.41191,0.45423,0.26969,1.31242,2.76366,1.1293,1.21265,0,0.000492136,0.000492136,0.000492136
64,3692.73,1.13329,2.41765,0.94773,1.08731,0,0.55144,0.44674,0.46208,0.29581,0.56273,0.42341,0.43564,0.26022,1.307,2.73754,1.13471,1.20457,0,0.000486639,0.000486639,0.000486639
65,3746.6,1.12779,2.41164,0.9406,1.08923,0,0.53151,0.47094,0.47397,0.31275,0.53864,0.45268,0.46556,0.27761,1.3046,2.75429,1.12314,1.20977,0,0.000481141,0.000481141,0.000481141
66,3806.97,1.12697,2.41448,0.93859,1.0822,0,0.52347,0.46371,0.44956,0.2959,0.54181,0.44481,0.44587,0.26336,1.31004,2.75946,1.12377,1.20679,0,0.000475643,0.000475643,0.000475643
67,3861.54,1.13877,2.41803,0.94745,1.09049,0,0.52749,0.46271,0.46362,0.30984,0.56489,0.43951,0.4505,0.26533,1.30112,2.77328,1.13659,1.19682,0,0.000470145,0.000470145,0.000470145
68,3916.33,1.13094,2.41332,0.93478,1.08353,0,0.52114,0.44035,0.45267,0.30273,0.50742,0.43681,0.44471,0.26586,1.30507,2.75242,1.13825,1.20383,0,0.000464647,0.000464647,0.000464647
69,3970.32,1.14474,2.4405,0.95133,1.0868,0,0.57877,0.42392,0.45842,0.30641,0.58143,0.42335,0.45163,0.26953,1.30548,2.77413,1.13386,1.20415,0,0.00045915,0.00045915,0.00045915
70,4024.87,1.12445,2.40662,0.93495,1.08215,0,0.57436,0.43334,0.46355,0.3113,0.57833,0.42573,0.45874,0.27185,1.30599,2.74634,1.11983,1.20621,0,0.000453652,0.000453652,0.000453652
71,4080.31,1.13456,2.43211,0.93905,1.08357,0,0.54343,0.43547,0.45034,0.30219,0.59095,0.4085,0.4414,0.26562,1.29514,2.72443,1.13584,1.20258,0,0.000448154,0.000448154,0.000448154
72,4134.92,1.12734,2.42186,0.92646,1.08161,0,0.51499,0.46083,0.45425,0.30624,0.55237,0.42364,0.44838,0.26197,1.30251,2.76318,1.13021,1.20704,0,0.000442656,0.000442656,0.000442656
73,4188.97,1.12458,2.40694,0.93546,1.0832,0,0.52748,0.45713,0.46265,0.30791,0.53627,0.44957,0.45523,0.27008,1.30457,2.74385,1.12308,1.20445,0,0.000437158,0.000437158,0.000437158
74,4243.35,1.1215,2.39656,0.93134,1.08151,0,0.57762,0.41826,0.46057,0.30521,0.61368,0.40526,0.44812,0.26916,1.31274,2.76082,1.13029,1.21235,0,0.000431661,0.000431661,0.000431661
75,4298.65,1.13919,2.42902,0.94447,1.08433,0,0.5447,0.44208,0.45809,0.30652,0.53442,0.42788,0.44669,0.27286,1.29765,2.73651,1.13463,1.19934,0,0.000426163,0.000426163,0.000426163
76,4354.03,1.1102,2.38522,0.91666,1.07413,0,0.54792,0.44433,0.46669,0.30727,0.57194,0.4063,0.44824,0.26965,1.30621,2.76492,1.13682,1.20737,0,0.000420665,0.000420665,0.000420665
77,4413.26,1.12398,2.40609,0.92207,1.07876,0,0.60276,0.44363,0.4753,0.30805,0.60163,0.44167,0.46085,0.27329,1.30541,2.75662,1.12799,1.20699,0,0.000415167,0.000415167,0.000415167
78,4468.24,1.11845,2.39922,0.91945,1.07265,0,0.60836,0.42308,0.46861,0.31031,0.61637,0.41615,0.45771,0.27695,1.30589,2.76498,1.12647,1.20302,0,0.000409669,0.000409669,0.000409669
79,4523.2,1.12653,2.39911,0.9246,1.07313,0,0.56206,0.42944,0.46416,0.3125,0.56425,0.42878,0.45726,0.27572,1.30334,2.7478,1.12073,1.20925,0,0.000404172,0.000404172,0.000404172
80,4579.1,1.12225,2.41335,0.91678,1.07413,0,0.5701,0.44069,0.47033,0.31198,0.58564,0.43366,0.45836,0.2754,1.30176,2.73559,1.13088,1.20585,0,0.000398674,0.000398674,0.000398674
81,4634.4,1.12284,2.39208,0.91653,1.07662,0,0.5143,0.46991,0.46474,0.31325,0.54755,0.44693,0.46378,0.27746,1.29902,2.75865,1.12363,1.20211,0,0.000393176,0.000393176,0.000393176
82,4690.09,1.11684,2.39389,0.91777,1.07437,0,0.50308,0.48413,0.46303,0.30592,0.62892,0.40013,0.45395,0.26973,1.2896,2.74732,1.11797,1.19722,0,0.000387678,0.000387678,0.000387678
83,4744.83,1.1197,2.40082,0.92556,1.07583,0,0.57351,0.42312,0.45777,0.30731,0.61505,0.40644,0.45259,0.2661,1.304,2.74503,1.13363,1.19981,0,0.00038218,0.00038218,0.00038218
84,4799.22,1.10825,2.38791,0.90862,1.06788,0,0.55823,0.45357,0.46521,0.30993,0.57414,0.43223,0.4562,0.2747,1.30822,2.74129,1.1216,1.21352,0,0.000376683,0.000376683,0.000376683
85,4853.87,1.1114,2.37943,0.90832,1.07012,0,0.5454,0.42638,0.46109,0.31111,0.63323,0.39625,0.45561,0.26971,1.30708,2.75698,1.12249,1.21102,0,0.000371185,0.000371185,0.000371185
86,4908.36,1.09624,2.36799,0.90886,1.06782,0,0.55939,0.46349,0.47038,0.31016,0.54799,0.45354,0.45489,0.26922,1.30401,2.746,1.12429,1.20609,0,0.000365687,0.000365687,0.000365687
87,4962.88,1.11213,2.38274,0.90302,1.06968,0,0.56047,0.4428,0.4637,0.30899,0.54997,0.43206,0.44837,0.27003,1.30391,2.75475,1.1221,1.20126,0,0.000360189,0.000360189,0.000360189
88,5022.64,1.09687,2.34312,0.90543,1.07061,0,0.511,0.48577,0.47116,0.31772,0.53077,0.44139,0.45246,0.27714,1.30158,2.73896,1.12618,1.20719,0,0.000354691,0.000354691,0.000354691
89,5077.5,1.11462,2.38265,0.90333,1.07281,0,0.57215,0.44089,0.46913,0.3083,0.5949,0.43019,0.45164,0.26722,1.30649,2.74454,1.12922,1.20507,0,0.000349194,0.000349194,0.000349194
90,5131.43,1.09377,2.36807,0.89578,1.06377,0,0.56327,0.44905,0.48183,0.3201,0.56555,0.43224,0.47083,0.28047,1.30122,2.74802,1.12034,1.20551,0,0.000343696,0.000343696,0.000343696
91,5186.41,1.10291,2.37665,0.90415,1.06946,0,0.56078,0.45878,0.47268,0.30822,0.56337,0.42139,0.44478,0.26455,1.30106,2.75686,1.11193,1.20199,0,0.000338198,0.000338198,0.000338198
92,5241.44,1.11261,2.39441,0.90166,1.06769,0,0.49293,0.47323,0.46148,0.30857,0.49882,0.47355,0.46153,0.27239,1.30363,2.72789,1.11949,1.19936,0,0.0003327,0.0003327,0.0003327
93,5296.82,1.09941,2.37822,0.89964,1.06158,0,0.46563,0.4943,0.46849,0.31068,0.51265,0.44454,0.45318,0.27367,1.30299,2.74895,1.12338,1.20612,0,0.000327202,0.000327202,0.000327202
94,5350.74,1.08761,2.33464,0.87819,1.06474,0,0.50567,0.47686,0.46922,0.31514,0.50904,0.46991,0.46693,0.27611,1.30158,2.74446,1.12708,1.20293,0,0.000321705,0.000321705,0.000321705
95,5405.56,1.10662,2.38623,0.89414,1.06426,0,0.52133,0.46312,0.47158,0.30972,0.52941,0.44834,0.46115,0.27004,1.29621,2.74786,1.12404,1.2002,0,0.000316207,0.000316207,0.000316207
96,5459.82,1.10509,2.39932,0.90143,1.06755,0,0.55195,0.432,0.46341,0.31025,0.56006,0.43008,0.45478,0.27479,1.2967,2.7624,1.12952,1.20184,0,0.000310709,0.000310709,0.000310709
